"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","34/1086","90/5590",3.46253926781753e-05,0.00204438600094853,0.00176701901134616,"LOC18055063/LOC18053775/LOC18054210/LOC18054593/LOC18055316/LOC18055630/LOC18053144/LOC18052634/LOC18052032/LOC18051897/LOC18053263/LOC18047156/LOC18045785/LOC18046168/LOC18046547/LOC18046879/LOC18044075/LOC18044399/LOC18044589/LOC18044560/LOC18041475/LOC18042579/LOC18042252/LOC18042081/LOC18041099/LOC18042569/LOC18041192/LOC18038615/LOC18036420/LOC18036749/LOC18035012/LOC18034566/LOC18032961/LOC18031746",34
"GO:0034637","BP","GO:0034637","cellular carbohydrate biosynthetic process","34/1086","91/5590",4.51693006280122e-05,0.00204438600094853,0.00176701901134616,"LOC18054789/LOC18055180/LOC18054628/LOC18053866/LOC18053215/LOC18053090/LOC18046063/LOC18047722/LOC18046510/LOC18049259/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18043584/LOC18044411/LOC18041528/LOC18041977/LOC18042073/LOC18042510/LOC18042773/LOC18040604/LOC18038018/LOC18038088/LOC18035694/LOC18037291/LOC18036087/LOC18037183/LOC18035848/LOC18036681/LOC18033703/LOC18035119/LOC18032223/LOC18031286",34
"GO:0044264","BP","GO:0044264","cellular polysaccharide metabolic process","42/1086","121/5590",4.67975740585602e-05,0.00204438600094853,0.00176701901134616,"LOC18054789/LOC18055180/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18051551/LOC18050365/LOC18053215/LOC18046063/LOC18048123/LOC18046510/LOC18049441/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18043584/LOC18043997/LOC18040647/LOC18041528/LOC18041518/LOC18042073/LOC18042773/LOC18040604/LOC18041697/LOC18038018/LOC18038088/LOC18035694/LOC18037291/LOC18036087/LOC18037183/LOC18035691/LOC18033703/LOC18035119/LOC18034971/LOC18034104/LOC18032223/LOC18031716",42
"GO:0006022","BP","GO:0006022","aminoglycan metabolic process","9/1086","12/5590",4.77023400221324e-05,0.00204438600094853,0.00176701901134616,"LOC18047842/LOC18047847/LOC18049816/LOC18040339/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047845",9
"GO:0006026","BP","GO:0006026","aminoglycan catabolic process","9/1086","12/5590",4.77023400221324e-05,0.00204438600094853,0.00176701901134616,"LOC18047842/LOC18047847/LOC18049816/LOC18040339/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047845",9
"GO:0006030","BP","GO:0006030","chitin metabolic process","9/1086","12/5590",4.77023400221324e-05,0.00204438600094853,0.00176701901134616,"LOC18047842/LOC18047847/LOC18049816/LOC18040339/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047845",9
"GO:0006032","BP","GO:0006032","chitin catabolic process","9/1086","12/5590",4.77023400221324e-05,0.00204438600094853,0.00176701901134616,"LOC18047842/LOC18047847/LOC18049816/LOC18040339/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047845",9
"GO:0016998","BP","GO:0016998","cell wall macromolecule catabolic process","9/1086","12/5590",4.77023400221324e-05,0.00204438600094853,0.00176701901134616,"LOC18047842/LOC18047847/LOC18049816/LOC18040339/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047845",9
"GO:0046348","BP","GO:0046348","amino sugar catabolic process","9/1086","12/5590",4.77023400221324e-05,0.00204438600094853,0.00176701901134616,"LOC18047842/LOC18047847/LOC18049816/LOC18040339/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047845",9
"GO:1901071","BP","GO:1901071","glucosamine-containing compound metabolic process","9/1086","12/5590",4.77023400221324e-05,0.00204438600094853,0.00176701901134616,"LOC18047842/LOC18047847/LOC18049816/LOC18040339/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047845",9
"GO:1901072","BP","GO:1901072","glucosamine-containing compound catabolic process","9/1086","12/5590",4.77023400221324e-05,0.00204438600094853,0.00176701901134616,"LOC18047842/LOC18047847/LOC18049816/LOC18040339/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047845",9
"GO:0008037","BP","GO:0008037","cell recognition","18/1086","38/5590",8.65378910521505e-05,0.00338626530204067,0.00292684217334276,"LOC18053914/LOC18053915/LOC18054405/LOC18054407/LOC18054409/LOC18054408/LOC18051451/LOC18052401/LOC18052407/LOC18052408/LOC18046582/LOC18042100/LOC18038068/LOC18039622/LOC18036902/LOC18036694/LOC18032964/LOC18038075",18
"GO:0048544","BP","GO:0048544","recognition of pollen","18/1086","38/5590",8.65378910521505e-05,0.00338626530204067,0.00292684217334276,"LOC18053914/LOC18053915/LOC18054405/LOC18054407/LOC18054409/LOC18054408/LOC18051451/LOC18052401/LOC18052407/LOC18052408/LOC18046582/LOC18042100/LOC18038068/LOC18039622/LOC18036902/LOC18036694/LOC18032964/LOC18038075",18
"GO:0042546","BP","GO:0042546","cell wall biogenesis","24/1086","58/5590",9.28140608664965e-05,0.00348052728249362,0.0030083153938746,"LOC18054151/LOC18054152/LOC18054158/LOC18051551/LOC18050634/LOC18046666/LOC18046667/LOC18050337/LOC18046510/LOC18043584/LOC18043997/LOC18040585/LOC18041518/LOC18040604/LOC18038054/LOC18038018/LOC18037938/LOC18035694/LOC18037183/LOC18035691/LOC18033703/LOC18034971/LOC18034104/LOC18031716",24
"GO:0009875","BP","GO:0009875","pollen-pistil interaction","18/1086","39/5590",0.000131875224852444,0.00474750809468797,0.00410340173330341,"LOC18053914/LOC18053915/LOC18054405/LOC18054407/LOC18054409/LOC18054408/LOC18051451/LOC18052401/LOC18052407/LOC18052408/LOC18046582/LOC18042100/LOC18038068/LOC18039622/LOC18036902/LOC18036694/LOC18032964/LOC18038075",18
"GO:0030244","BP","GO:0030244","cellulose biosynthetic process","13/1086","24/5590",0.00015369147048478,0.00524947980359175,0.00453726967819217,"LOC18054789/LOC18055180/LOC18053866/LOC18053215/LOC18046063/LOC18049131/LOC18050333/LOC18041528/LOC18042073/LOC18042773/LOC18036087/LOC18037183/LOC18032223",13
"GO:0009698","BP","GO:0009698","phenylpropanoid metabolic process","15/1086","30/5590",0.000157484394107753,0.00524947980359175,0.00453726967819217,"LOC18047120/LOC18045747/LOC18045354/LOC18043571/LOC18038722/LOC18039542/LOC18039489/LOC18039490/LOC18037896/LOC18037393/LOC18036699/LOC18033836/LOC18034906/LOC18034930/LOC18034509",15
"GO:1901136","BP","GO:1901136","carbohydrate derivative catabolic process","12/1086","22/5590",0.000254458382564792,0.00790049712711823,0.00682861681513493,"LOC18051803/LOC18047667/LOC18047842/LOC18047847/LOC18049816/LOC18040339/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18031349/LOC18047845",12
"GO:0006073","BP","GO:0006073","cellular glucan metabolic process","36/1086","106/5590",0.000263349904237274,0.00790049712711823,0.00682861681513493,"LOC18054789/LOC18055180/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18051551/LOC18050365/LOC18053215/LOC18046063/LOC18048123/LOC18049441/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18043997/LOC18040647/LOC18041528/LOC18041518/LOC18042073/LOC18042773/LOC18041697/LOC18038088/LOC18037291/LOC18036087/LOC18037183/LOC18035691/LOC18035119/LOC18034971/LOC18034104/LOC18032223/LOC18031716",36
"GO:0044042","BP","GO:0044042","glucan metabolic process","36/1086","106/5590",0.000263349904237274,0.00790049712711823,0.00682861681513493,"LOC18054789/LOC18055180/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18051551/LOC18050365/LOC18053215/LOC18046063/LOC18048123/LOC18049441/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18043997/LOC18040647/LOC18041528/LOC18041518/LOC18042073/LOC18042773/LOC18041697/LOC18038088/LOC18037291/LOC18036087/LOC18037183/LOC18035691/LOC18035119/LOC18034971/LOC18034104/LOC18032223/LOC18031716",36
"GO:0009627","BP","GO:0009627","systemic acquired resistance","10/1086","17/5590",0.000376588392988411,0.010933211409341,0.00944987512456488,"LOC18054493/LOC18052579/LOC18048745/LOC18043712/LOC18044403/LOC18042675/LOC18039099/LOC18038248/LOC18038027/LOC18049078",10
"GO:0006952","BP","GO:0006952","defense response","59/1086","202/5590",0.00042847180005804,0.0120507693766324,0.0104158111922004,"LOC18054493/LOC18054016/LOC18055146/LOC18054372/LOC18054710/LOC18054167/LOC18054168/LOC18050678/LOC18053579/LOC18050848/LOC18052579/LOC18051867/LOC18050269/LOC18047586/LOC18048745/LOC18047516/LOC18048543/LOC18048758/LOC18047765/LOC18048769/LOC18046682/LOC18048108/LOC18046938/LOC18045476/LOC18045634/LOC18044695/LOC18044660/LOC18043712/LOC18044403/LOC18043537/LOC18042952/LOC18041844/LOC18040405/LOC18042675/LOC18041192/LOC18040175/LOC18039099/LOC18038319/LOC18038248/LOC18038027/LOC18038768/LOC18037777/LOC18037266/LOC18033740/LOC18034908/LOC18034434/LOC18034308/LOC18034558/LOC18034249/LOC18034444/LOC18035246/LOC18034811/LOC18034415/LOC18033438/LOC18033425/LOC18033276/LOC18033035/LOC18031489/LOC18049078",59
"GO:0010410","BP","GO:0010410","hemicellulose metabolic process","16/1086","36/5590",0.000526944222057946,0.0143712060561258,0.0124214283923707,"LOC18054151/LOC18054152/LOC18054158/LOC18051551/LOC18046510/LOC18043584/LOC18043997/LOC18041518/LOC18040604/LOC18038018/LOC18035694/LOC18035691/LOC18033703/LOC18034971/LOC18034104/LOC18031716",16
"GO:0006811","BP","GO:0006811","ion transport","55/1086","188/5590",0.000636625314427872,0.0168518465583849,0.0145655141598204,"LOC18053989/LOC18054197/LOC18055473/LOC18055777/LOC18055229/LOC18055230/LOC18051129/LOC18053579/LOC18051150/LOC18053565/LOC18053576/LOC18052351/LOC18052308/LOC18053225/LOC18051154/LOC18047346/LOC18049857/LOC18046437/LOC18047777/LOC18047579/LOC18047919/LOC18049353/LOC18046233/LOC18045480/LOC18044751/LOC18045485/LOC18044951/LOC18045433/LOC18044883/LOC18044308/LOC18045420/LOC18044564/LOC18043241/LOC18045074/LOC18040295/LOC18041653/LOC18040207/LOC18041578/LOC18038157/LOC18038934/LOC18038108/LOC18039766/LOC18038820/LOC18037630/LOC18033732/LOC18034196/LOC18034947/LOC18035651/LOC18034303/LOC18034262/LOC18032157/LOC18031402/LOC18031509/LOC18032121/LOC18031570",55
"GO:1901606","BP","GO:1901606","alpha-amino acid catabolic process","13/1086","27/5590",0.00069036340395213,0.0170374248797521,0.0147259146036688,"LOC18055481/LOC18055591/LOC18051766/LOC18051867/LOC18045924/LOC18045848/LOC18045476/LOC18043571/LOC18044642/LOC18038722/LOC18033836/LOC18034906/LOC18035254",13
"GO:0042537","BP","GO:0042537","benzene-containing compound metabolic process","7/1086","10/5590",0.000709226470657021,0.0170374248797521,0.0147259146036688,"LOC18045747/LOC18045476/LOC18043571/LOC18042675/LOC18038722/LOC18033836/LOC18034906",7
"GO:0120255","BP","GO:0120255","olefinic compound biosynthetic process","7/1086","10/5590",0.000709226470657021,0.0170374248797521,0.0147259146036688,"LOC18049277/LOC18045747/LOC18043571/LOC18043894/LOC18038722/LOC18033836/LOC18034906",7
"GO:0009607","BP","GO:0009607","response to biotic stimulus","39/1086","123/5590",0.000719357939367312,0.0170374248797521,0.0147259146036688,"LOC18054493/LOC18055146/LOC18054167/LOC18054168/LOC18050848/LOC18052579/LOC18051867/LOC18052168/LOC18050269/LOC18048745/LOC18047516/LOC18045634/LOC18044695/LOC18043712/LOC18044403/LOC18041844/LOC18040405/LOC18042675/LOC18041192/LOC18041209/LOC18040175/LOC18039099/LOC18038248/LOC18038027/LOC18038768/LOC18037777/LOC18037266/LOC18034434/LOC18034308/LOC18034558/LOC18034249/LOC18034444/LOC18035246/LOC18034811/LOC18034415/LOC18033035/LOC18032758/LOC18031489/LOC18049078",39
"GO:0006928","BP","GO:0006928","movement of cell or subcellular component","14/1086","31/5590",0.000963876654891949,0.0216872247350688,0.0187448644201355,"LOC18055901/LOC18055273/LOC18050431/LOC18051772/LOC18048223/LOC18041046/LOC18039529/LOC18039021/LOC18037153/LOC18037824/LOC18034863/LOC18034779/LOC18032371/LOC18033169",14
"GO:0007018","BP","GO:0007018","microtubule-based movement","14/1086","31/5590",0.000963876654891949,0.0216872247350688,0.0187448644201355,"LOC18055901/LOC18055273/LOC18050431/LOC18051772/LOC18048223/LOC18041046/LOC18039529/LOC18039021/LOC18037153/LOC18037824/LOC18034863/LOC18034779/LOC18032371/LOC18033169",14
"GO:0010383","BP","GO:0010383","cell wall polysaccharide metabolic process","16/1086","38/5590",0.00108432646975406,0.023802288360455,0.0205729720448845,"LOC18054151/LOC18054152/LOC18054158/LOC18051551/LOC18046510/LOC18043584/LOC18043997/LOC18041518/LOC18040604/LOC18038018/LOC18035694/LOC18035691/LOC18033703/LOC18034971/LOC18034104/LOC18031716",16
"GO:0030243","BP","GO:0030243","cellulose metabolic process","18/1086","45/5590",0.00111191423414517,0.0238267335888251,0.0205941007276512,"LOC18054789/LOC18055180/LOC18053866/LOC18050365/LOC18053215/LOC18046063/LOC18048123/LOC18049441/LOC18049131/LOC18050333/LOC18040647/LOC18041528/LOC18042073/LOC18042773/LOC18041697/LOC18036087/LOC18037183/LOC18032223",18
"GO:0033692","BP","GO:0033692","cellular polysaccharide biosynthetic process","24/1086","67/5590",0.001169153580245,0.0244706563307093,0.021150660851923,"LOC18054789/LOC18055180/LOC18053866/LOC18053215/LOC18046063/LOC18046510/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18043584/LOC18041528/LOC18042073/LOC18042773/LOC18040604/LOC18038018/LOC18038088/LOC18035694/LOC18037291/LOC18036087/LOC18037183/LOC18033703/LOC18035119/LOC18032223",24
"GO:0051704","BP","GO:0051704","multi-organism process","32/1086","98/5590",0.0012179257817336,0.0249121182627326,0.0215322285335198,"LOC18053914/LOC18053915/LOC18054405/LOC18054407/LOC18054409/LOC18054408/LOC18051451/LOC18050678/LOC18052647/LOC18051886/LOC18052401/LOC18052407/LOC18052408/LOC18048704/LOC18047379/LOC18046582/LOC18049136/LOC18048038/LOC18049839/LOC18044678/LOC18041326/LOC18042100/LOC18038068/LOC18039622/LOC18036902/LOC18036694/LOC18037183/LOC18034208/LOC18032585/LOC18032964/LOC18052047/LOC18038075",32
"GO:0015849","BP","GO:0015849","organic acid transport","22/1086","60/5590",0.00130289225283748,0.0254913701642116,0.0220328918729267,"LOC18055229/LOC18055230/LOC18051129/LOC18053579/LOC18052351/LOC18049857/LOC18047579/LOC18046233/LOC18045480/LOC18044951/LOC18045433/LOC18044883/LOC18044564/LOC18040207/LOC18041578/LOC18038157/LOC18038108/LOC18038820/LOC18034196/LOC18034947/LOC18035651/LOC18031402",22
"GO:0046942","BP","GO:0046942","carboxylic acid transport","22/1086","60/5590",0.00130289225283748,0.0254913701642116,0.0220328918729267,"LOC18055229/LOC18055230/LOC18051129/LOC18053579/LOC18052351/LOC18049857/LOC18047579/LOC18046233/LOC18045480/LOC18044951/LOC18045433/LOC18044883/LOC18044564/LOC18040207/LOC18041578/LOC18038157/LOC18038108/LOC18038820/LOC18034196/LOC18034947/LOC18035651/LOC18031402",22
"GO:0009063","BP","GO:0009063","cellular amino acid catabolic process","13/1086","29/5590",0.00158736898857465,0.0297631685357747,0.0257251246174708,"LOC18055481/LOC18055591/LOC18051766/LOC18051867/LOC18045924/LOC18045848/LOC18045476/LOC18043571/LOC18044642/LOC18038722/LOC18033836/LOC18034906/LOC18035254",13
"GO:0051274","BP","GO:0051274","beta-glucan biosynthetic process","13/1086","29/5590",0.00158736898857465,0.0297631685357747,0.0257251246174708,"LOC18054789/LOC18055180/LOC18053866/LOC18053215/LOC18046063/LOC18049131/LOC18050333/LOC18041528/LOC18042073/LOC18042773/LOC18036087/LOC18037183/LOC18032223",13
"GO:0120254","BP","GO:0120254","olefinic compound metabolic process","7/1086","11/5590",0.00162370592672627,0.0298231700827274,0.0257769856036673,"LOC18049277/LOC18045747/LOC18043571/LOC18043894/LOC18038722/LOC18033836/LOC18034906",7
"GO:0009617","BP","GO:0009617","response to bacterium","17/1086","43/5590",0.0017665002006718,0.0313105626846251,0.0270625799110385,"LOC18054493/LOC18050848/LOC18051867/LOC18052168/LOC18050269/LOC18045634/LOC18042675/LOC18041192/LOC18038027/LOC18037266/LOC18034308/LOC18034558/LOC18034249/LOC18034444/LOC18034415/LOC18032758/LOC18031489",17
"GO:0015711","BP","GO:0015711","organic anion transport","23/1086","65/5590",0.00177426521879542,0.0313105626846251,0.0270625799110385,"LOC18055229/LOC18055230/LOC18051129/LOC18053579/LOC18052351/LOC18049857/LOC18047579/LOC18047919/LOC18046233/LOC18045480/LOC18044951/LOC18045433/LOC18044883/LOC18044564/LOC18040207/LOC18041578/LOC18038157/LOC18038108/LOC18038820/LOC18034196/LOC18034947/LOC18035651/LOC18031402",23
"GO:0000271","BP","GO:0000271","polysaccharide biosynthetic process","26/1086","78/5590",0.00245215429598698,0.0424411320459286,0.036683036937943,"LOC18054789/LOC18055180/LOC18053866/LOC18053215/LOC18046063/LOC18046510/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18046728/LOC18045452/LOC18043584/LOC18041528/LOC18042073/LOC18042773/LOC18040604/LOC18038018/LOC18038088/LOC18035694/LOC18037291/LOC18036087/LOC18037183/LOC18033703/LOC18035119/LOC18032223",26
"GO:0009605","BP","GO:0009605","response to external stimulus","50/1086","177/5590",0.00252283381038239,0.0428405741385688,0.0370282857174297,"LOC18054105/LOC18054493/LOC18055146/LOC18050848/LOC18052579/LOC18052602/LOC18051867/LOC18052168/LOC18053227/LOC18050269/LOC18048115/LOC18047667/LOC18048745/LOC18047516/LOC18048835/LOC18049660/LOC18047815/LOC18045634/LOC18044382/LOC18043712/LOC18044403/LOC18043241/LOC18043774/LOC18044038/LOC18040405/LOC18040470/LOC18042675/LOC18041192/LOC18041209/LOC18040533/LOC18040175/LOC18039099/LOC18038239/LOC18038248/LOC18038027/LOC18038768/LOC18037266/LOC18033732/LOC18033726/LOC18034434/LOC18034308/LOC18034558/LOC18034249/LOC18034444/LOC18034415/LOC18033035/LOC18032758/LOC18031489/LOC18032558/LOC18049078",50
"GO:0042221","BP","GO:0042221","response to chemical","96/1086","382/5590",0.00273060567680861,0.0455100946134769,0.0393356256366777,"LOC18055047/LOC18055059/LOC18054398/LOC18055572/LOC18055428/LOC18054493/LOC18054917/LOC18055453/LOC18055992/LOC18051599/LOC18053149/LOC18050781/LOC18051150/LOC18053492/LOC18051419/LOC18052602/LOC18052304/LOC18051867/LOC18052168/LOC18053388/LOC18051242/LOC18051033/LOC18046431/LOC18047042/LOC18047689/LOC18047919/LOC18048745/LOC18048976/LOC18049444/LOC18047120/LOC18046011/LOC18049277/LOC18049660/LOC18048035/LOC18049839/LOC18050333/LOC18049958/LOC18047540/LOC18048045/LOC18045467/LOC18045713/LOC18043475/LOC18044681/LOC18043537/LOC18045294/LOC18044687/LOC18045496/LOC18045268/LOC18042675/LOC18041690/LOC18041892/LOC18042003/LOC18041209/LOC18042192/LOC18041942/LOC18040175/LOC18038076/LOC18039631/LOC18038027/LOC18038768/LOC18039917/LOC18038853/LOC18038673/LOC18036949/LOC18036592/LOC18036821/LOC18036454/LOC18036413/LOC18037266/LOC18037183/LOC18034309/LOC18033791/LOC18034126/LOC18035015/LOC18033753/LOC18035131/LOC18034781/LOC18034212/LOC18034313/LOC18034820/LOC18035617/LOC18034434/LOC18033888/LOC18035603/LOC18035349/LOC18034415/LOC18033438/LOC18033425/LOC18033276/LOC18032009/LOC18031625/LOC18033124/LOC18031642/LOC18032769/LOC18031489/LOC18032558",96
